SchemaName,Type,SourceEntity,TargetEntity,SourceAttribute,TargetAttribute
msdyn_characteristic_msdyn_requirementcharacteristic_characteristic,OneToMany,characteristic,msdyn_requirementcharacteristic,characteristicid,msdyn_characteristic
msdyn_characteristic_msdyn_rolecompetencyrequirement_characteristic,OneToMany,characteristic,msdyn_rolecompetencyrequirement,characteristicid,msdyn_characteristic
characteristic_DeletedItemReferences,OneToMany,characteristic,deleteditemreference,characteristicid,deletedobject
chat_ActionCards,OneToMany,chat,actioncard,activityid,regardingobjectid
chat_Annotations,OneToMany,chat,annotation,activityid,objectid
chat_DeletedItemReferences,OneToMany,chat,deleteditemreference,activityid,deletedobject
clientupdate_DeletedItemReferences,OneToMany,clientupdate,deleteditemreference,clientupdateid,deletedobject
PickListMapping_ColumnMapping,OneToMany,columnmapping,picklistmapping,columnmappingid,columnmappingid
LookUpMapping_ColumnMapping,OneToMany,columnmapping,lookupmapping,columnmappingid,columnmappingid
Comment_Container_Comment,OneToMany,comment,comment,commentid,container
Comment_Parent_Comment,OneToMany,comment,comment,commentid,parent
comment_DeletedItemReferences,OneToMany,comment,deleteditemreference,commentid,deletedobject
componentchangesetpayload_componentchangesetversion_payload,OneToMany,componentchangesetpayload,componentchangesetversion,componentchangesetpayloadid,payload
restoreversions,OneToMany,componentversion,componentversion,componentversionid,restoredfromversion
nrd_restoreversions,OneToMany,componentversionnrddatasource,componentversionnrddatasource,componentversionnrddatasourceid,restoredfromversion
connection_related_connection,OneToMany,connection,connection,connectionid,relatedconnectionid
connection_DeletedItemReferences,OneToMany,connection,deleteditemreference,connectionid,deletedobject
ConnectionReference_DVTableSearch,OneToMany,connectionreference,dvtablesearch,connectionreferenceid,connectionreference
msdyn_AIConfiguration_ConnectionReference,OneToMany,connectionreference,msdyn_aiconfiguration,connectionreferenceid,msdyn_connectionreferenceid
msdyn_connectionreference_msdyn_aimodelcatalog_ConnectionReferenceId,OneToMany,connectionreference,msdyn_aimodelcatalog,connectionreferenceid,msdyn_connectionreferenceid
bot_connectionreference,OneToMany,connectionreference,bot,connectionreferenceid,providerconnectionreferenceid
msdyn_dfcr_cr_connect,OneToMany,connectionreference,msdyn_dataflowconnectionreference,connectionreferenceid,msdyn_connectionreference
connectionreference_federatedknowledgeconfiguration,OneToMany,connectionreference,federatedknowledgeconfiguration,connectionreferenceid,connectionreference
msdyn_connreference_msdyn_connectordatasource,OneToMany,connectionreference,msdyn_connectordatasource,connectionreferenceid,msdyn_connectionreferenceid
connectionreference_connectioninstance,OneToMany,connectionreference,connectioninstance,connectionreferenceid,connectionreferenceid
credential_connectionreference,OneToMany,connectionreference,credential,connectionreferenceid,connectionreference
connector_connectionreference,OneToMany,connector,connectionreference,connectorid,customconnectorid
lk_connectioninstance_connectorid,OneToMany,connector,connectioninstance,connectorid,connectorid
AIPlugin_connector_connector,OneToMany,connector,aiplugin,connectorid,connector
slakpiinstance_contact,OneToMany,contact,slakpiinstance,contactid,regarding
socialactivity_postauthoraccount_contacts,OneToMany,contact,socialactivity,contactid,postauthoraccount
Contact_Email_EmailSender,OneToMany,contact,email,contactid,emailsender
Contact_Tasks,OneToMany,contact,task,contactid,regardingobjectid
contact_PostFollows,OneToMany,contact,postfollow,contactid,regardingobjectid
contact_PostRoles,OneToMany,contact,postrole,contactid,regardingobjectid
contact_PostRegardings,OneToMany,contact,postregarding,contactid,regardingobjectid
contact_master_contact,OneToMany,contact,contact,contactid,masterid
contact_customer_relationship_partner,OneToMany,contact,customerrelationship,contactid,partnerid
lk_contact_feedback_createdby,OneToMany,contact,feedback,contactid,createdbycontact
contact_actioncard,OneToMany,contact,actioncard,contactid,regardingobjectid
contact_connections2,OneToMany,contact,connection,contactid,record2id
Contact_Annotation,OneToMany,contact,annotation,contactid,objectid
Contact_SocialActivities,OneToMany,contact,socialactivity,contactid,regardingobjectid
account_primary_contact,OneToMany,contact,account,contactid,primarycontactid
Socialprofile_customer_contacts,OneToMany,contact,socialprofile,contactid,customerid
Contact_ExternalPartyItems,OneToMany,contact,externalpartyitem,contactid,regardingobjectid
socialactivity_postauthor_contacts,OneToMany,contact,socialactivity,contactid,postauthor
lk_contact_feedback_createdonbehalfby,OneToMany,contact,feedback,contactid,createdonbehalfbycontact
Contact_Emails,OneToMany,contact,email,contactid,regardingobjectid
Contact_Appointments,OneToMany,contact,appointment,contactid,regardingobjectid
Contact_Feedback,OneToMany,contact,feedback,contactid,regardingobjectid
contact_connections1,OneToMany,contact,connection,contactid,record1id
Contact_CustomerAddress,OneToMany,contact,customeraddress,contactid,parentid
Contact_Phonecalls,OneToMany,contact,phonecall,contactid,regardingobjectid
contact_customer_contacts,OneToMany,contact,contact,contactid,parentcustomerid
contact_customer_relationship_customer,OneToMany,contact,customerrelationship,contactid,customerid
Contact_Faxes,OneToMany,contact,fax,contactid,regardingobjectid
Contact_Letters,OneToMany,contact,letter,contactid,regardingobjectid
contact_chats,OneToMany,contact,chat,contactid,regardingobjectid
contact_adx_inviteredemptions,OneToMany,contact,adx_inviteredemption,contactid,regardingobjectid
contact_adx_portalcomments,OneToMany,contact,adx_portalcomment,contactid,regardingobjectid
adx_contact_externalidentity,OneToMany,contact,adx_externalidentity,contactid,adx_contactid
adx_invitation_invitecontact,OneToMany,contact,adx_invitation,contactid,adx_invitecontact
adx_invitation_invitercontact,OneToMany,contact,adx_invitation,contactid,adx_invitercontact
adx_invitation_redeemedContact,OneToMany,contact,adx_invitation,contactid,adx_redeemedcontact
adx_webformsession_contact,OneToMany,contact,adx_webformsession,contactid,adx_contact
